"","Plant_Species","Compartment","Treatment","Phylum","Class","Order","Family","n_ASVs"
"18","A. thaliana","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",1
"19","A. thaliana","Root","meJA 1mM","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",1
"20","A. thaliana","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",2
"21","A. thaliana","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",1
"22","A. thaliana","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",2
"23","A. thaliana","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae",1
"24","A. thaliana","Root","meJA 1mM","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",1
"25","A. thaliana","Root","meJA 1mM","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"26","A. thaliana","Root","meJA 1mM","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",4
"27","A. thaliana","Root","meJA 1mM","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",3
"28","A. thaliana","Root","meJA 1mM","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae",2
"29","A. thaliana","Root","meJA 1mM","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",2
"30","A. thaliana","Root","meJA 1mM","Myxococcota","Polyangia","Polyangiales","BIrii41",1
"31","A. thaliana","Root","meJA 1mM","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",1
"32","A. thaliana","Root","meJA 1mM","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",3
"33","A. thaliana","Root","meJA 1mM","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",1
"34","A. thaliana","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",1
"35","A. thaliana","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",4
"36","A. thaliana","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"37","A. thaliana","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",3
"38","A. thaliana","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",4
"39","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"40","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",4
"41","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",6
"42","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",1
"43","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family",1
"44","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",1
"45","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",2
"46","A. thaliana","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",1
"47","A. thaliana","Root","Caterpillar OS","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",1
"48","A. thaliana","Root","Caterpillar OS","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",1
"49","A. thaliana","Root","Caterpillar OS","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",3
"50","A. thaliana","Root","Caterpillar OS","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae",1
"51","A. thaliana","Root","Caterpillar OS","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",4
"52","A. thaliana","Root","Caterpillar OS","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",3
"53","A. thaliana","Root","Caterpillar OS","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9",2
"54","A. thaliana","Root","Caterpillar OS","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",1
"55","A. thaliana","Root","Caterpillar OS","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae",2
"56","A. thaliana","Root","Caterpillar OS","Myxococcota","Polyangia","Polyangiales","BIrii41",1
"57","A. thaliana","Root","Caterpillar OS","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",1
"58","A. thaliana","Root","Caterpillar OS","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",3
"59","A. thaliana","Root","Caterpillar OS","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",2
"60","A. thaliana","Root","Caterpillar OS","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",1
"61","A. thaliana","Root","Caterpillar OS","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",3
"62","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",1
"63","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",2
"64","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",6
"65","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",1
"66","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",1
"67","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",1
"68","A. thaliana","Root","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",3
"69","A. thaliana","Soil","meJA 0.1mM","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",1
"70","A. thaliana","Soil","meJA 0.1mM","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae",1
"71","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"72","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"73","A. thaliana","Soil","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",3
"74","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"75","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"76","A. thaliana","Soil","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",4
"77","A. thaliana","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"78","A. thaliana","Soil","Caterpillar OS","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",1
